card_id,name,set_name,market_price,predicted_relative_return,pred_lo90,pred_hi90,percentile,direction_flag,direction_flag_percentile,signal_strength,top3_drivers,cardmarket_eur_avg30,cardmarket_eur_trend,cardmarket_eur_usd_div_z
sv4-232,Altaria ex,Paradox Rift,3.4,0.052841812820404496,-0.18506732883155608,0.3021015561338625,83.68200836820083,none,none,strong,log_price +0.09; mispricing -0.04; rarity_UR -0.03,2.81,2.68,-0.49647656925091965
sv1-231,Koraidon ex,Scarlet & Violet,2.12,0.0527921926495553,-0.18511694900240527,0.30205193596301333,83.47280334728033,none,none,strong,log_price +0.12; mispricing -0.07; premium_asof -0.03,2.0,2.01,0.13563800009166488
swsh11-182,Drapion V,Lost Origin,1.68,0.0526507562669649,-0.09552493139033154,0.22942640047550028,83.26359832635984,none,none,strong,log_price +0.13; premium_asof -0.10; set_age +0.05,1.73,1.63,0.2231138968837978
swsh11-200,Drapion VSTAR,Lost Origin,5.9,0.052334069337614454,-0.1004772545751664,0.16772229361449417,83.05439330543933,none,none,strong,premium_asof -0.10; log_price +0.05; set_age +0.05,4.98,4.8,-0.3963521264375152
swsh9-175,Whimsicott VSTAR,Brilliant Stars,6.18,0.05191093198312167,-0.10090039192965919,0.16729915626000139,82.74058577405857,none,none,strong,set_age +0.07; log_price +0.05; premium_asof -0.04,4.36,3.74,-1.220236244651991
sv4pt5-242,Chien-Pao ex,Paldean Fates,10.61,0.05191093198312167,-0.08543101523757313,0.2359098350789602,82.74058577405857,none,none,strong,mispricing +0.08; artwork -0.04; premium_asof -0.03,7.84,7.69,-0.7473304780200939
sv1-230,Great Tusk ex,Scarlet & Violet,1.18,0.05145567105809137,-0.18645347059386919,0.3007154143715494,82.42677824267783,none,none,strong,log_price +0.16; premium_asof -0.07; mispricing -0.06,1.3,1.26,0.6088342088939136
sv6-191,Magcargo ex,Twilight Masquerade,1.62,0.05108239826510201,-0.18682674338685856,0.30034214157856004,82.21757322175732,none,none,strong,log_price +0.14; premium_asof -0.04; artwork -0.03,1.6,1.7,0.5360305895448058
swsh10-173,Hisuian Decidueye V,Astral Radiance,1.98,0.050891315772625435,-0.09728437188467101,0.2276669599811608,82.00836820083683,none,none,strong,log_price +0.12; mispricing -0.08; premium_asof -0.07,2.39,2.34,1.0596450501940684
sv1-226,Magnezone ex,Scarlet & Violet,1.45,0.05070896845452911,-0.18720017319743146,0.2999687117679872,81.79916317991632,none,none,strong,log_price +0.14; premium_asof -0.08; mid_skew +0.03,1.56,1.6,0.7497913731587803
sv5-186,Iron Leaves ex,Temporal Forces,2.0,0.05053604060248132,-0.18737310104947924,0.29979578391593936,81.58995815899581,none,none,strong,log_price +0.12; premium_asof -0.04; rarity_UR -0.03,1.97,1.97,0.2814785256876448
swsh11-177,Rotom V,Lost Origin,31.4,0.05037513826116654,-0.0978005493961299,0.2271507824697019,81.3807531380753,none,none,strong,log_price -0.06; mispricing +0.05; set_age +0.05,27.34,24.52,-0.5255111009900797
sv3-214,Absol ex,Obsidian Flames,2.68,0.049750058612896435,-0.18815908303906412,0.29900980192635446,81.17154811715481,none,none,strong,log_price +0.10; mispricing -0.05; premium_asof +0.04,2.07,1.95,-0.7361651189040355
