product_id,name,set_id,set_name,series,first_month,last_month,n_months,gap_months,gap_flagged,release_month,age_at_first_month,age_at_last_month,first_price,last_price,total_return_pct,cagr_pct,annual_pct,se_monthly,t,ci_lo_pct,ci_hi_pct,trend_reported,significant_positive,max_drawdown_pct,is_pokemon_center,is_retailer_exclusive,variant_label,full_history,late_start,delisted
478336,Scarlet & Violet Elite Trainer Box [Miraidon],sv1,Scarlet & Violet,Scarlet & Violet,2024-03,2026-08,30,0,False,2023-03,12,41,35.95,149.67,316.32823365785805,80.43396324109162,80.43396324109153,0.015537299709987608,3.1654721285768086,25.201891581826242,160.03133562570966,True,True,-10.36902286902286,False,False,Miraidon,True,False,False
111280,XY BREAKpoint Elite Trainer Box,xy9,BREAKpoint,XY,2024-05,2026-08,28,0,False,2016-02,99,126,240.0,860.87,258.6958333333333,76.41887015631971,76.41887015631974,0.021401130257964487,2.210517694999381,6.645103058193147,191.84291500238083,True,True,-3.31307098930006,False,False,,False,True,False
216856,Darkness Ablaze Elite Trainer Box,swsh3,Darkness Ablaze,Sword & Shield,2024-03,2026-08,30,0,False,2020-08,43,72,33.74,132.7,293.30171902786003,76.23552351205312,76.23552351205309,0.015098619785507689,3.1274995346097914,23.556898288982197,151.37374098631776,True,True,-12.628365251179574,False,False,,True,False,False
129890,Guardians Rising Elite Trainer Box,sm2,Guardians Rising,Sun & Moon,2024-03,2026-08,27,3,False,2017-05,82,111,105.41,402.48,281.8233564177972,74.08874157035903,74.08874157035903,0.009814306016674334,4.707371321850485,38.20425515829662,119.29057037236875,True,True,-3.775972296217356,False,False,,False,False,False
175511,Lost Thunder Elite Trainer Box,sm8,Lost Thunder,Sun & Moon,2024-03,2026-08,30,0,False,2018-11,64,93,176.62,667.44,277.89604801268257,73.34554974713849,73.34554974713845,0.017214114823289807,2.6631092148958317,15.631801639235633,159.86518579800176,True,True,-3.5951063799055327,False,False,,True,False,False
107106,Elite Trainer Box [Mewtwo X],xy8,BREAKthrough,XY,2025-03,2026-06,16,0,False,2015-11,112,127,453.99,900.0,98.24225203198307,72.8848661832645,72.88486618326455,0.02165817137358947,2.106424653473572,3.878886625583644,187.73100989170675,True,True,-2.294048240778357,False,False,Mewtwo X,False,True,True
552999,Shrouded Fable Elite Trainer Box,sv6pt5,Shrouded Fable,Scarlet & Violet,2024-07,2026-08,26,0,False,2024-08,-1,24,39.48,123.01,211.57548125633235,72.54817561010638,72.54817561010636,0.02387212528970087,1.9042652039124803,-1.5839313942107691,202.520445371913,True,False,-26.990927419354836,False,False,,False,True,False
120697,Steam Siege Elite Trainer Box,xy11,Steam Siege,XY,2024-03,2026-08,12,18,True,2016-08,91,120,499.0,1800.0,260.7214428857715,70.04110332876128,70.04110332876121,0.02502559010715968,1.76775720322912,-5.609700079571178,206.32360365034307,True,False,-18.19090909090909,False,False,,False,False,False
145847,Shining Legends Elite Trainer Box,sm35,Shining Legends,Sun & Moon,2024-03,2026-08,30,0,False,2017-10,77,106,266.92,957.54,258.73670013487185,69.65333593225029,69.65333593225023,0.012773948187078533,3.4483398092892767,25.62658470382926,129.10958266354612,True,True,-0.4456656502362266,False,False,,True,False,False
229285,Battle Styles Elite Trainer Box [Rapid Strike Urshifu] (Blue),swsh5,Battle Styles,Sword & Shield,2024-03,2026-08,30,0,False,2021-03,36,65,36.47,129.92,256.2380038387716,69.16336274315249,69.16336274315242,0.014452670487572577,3.031127857066832,20.414274113444918,137.64826475315863,True,True,-3.5194495898385747,False,False,Rapid Strike Urshifu,True,False,False
