window,from_month,to_month,months,n_products,n_up,share_up,sign_p,geo_mean,median,p10,p25,p75,p90,min,max,annualised_geo_pct,cohort
first 12m,2024-03,2025-03,12,67,65,0.9701492537313433,3.088620938868081e-17,1.7503969780704667,1.6670739156994503,1.1259801332604293,1.419603246776311,2.208028930716738,2.787841963594351,0.7837024152003746,4.496654737824802,75.03969780704666,fixed
last 12m,2025-09,2026-09,12,67,66,0.9850746268656716,9.215718466126788e-19,1.5862911563918236,1.6192355682310102,1.2277398290154253,1.3961896894679926,1.783751809130007,2.014454093885518,0.9486990219597712,2.76634302494775,58.62911563918236,fixed
