card_id,name,set_id,set_name,number,rarity,variant,eu_eur,eu_usd,us_usd,ratio,gap_pct,gap_usd,obs_dates,flags
sv4-166,Luxurious Cape,sv4,Paradox Rift,166,Uncommon,holo,0.12,0.139824,0.28,0.4993714285714285,-50.06285714285714,-0.14017600000000002,8,penny
sv9-89,Toedscruel,sv9,Journey Together,89,Uncommon,normal,0.05,0.058260000000000006,0.08,0.7282500000000001,-27.174999999999994,-0.021739999999999995,7,penny
sv9-89,Toedscruel,sv9,Journey Together,89,Uncommon,holo,0.22,0.256344,0.31,0.8269161290322581,-17.30838709677419,-0.05365599999999998,7,penny
sv10-159,Arven's Greedent,sv10,Destined Rivals,159,Rare,normal,0.05,0.058260000000000006,0.13,0.4481538461538462,-55.184615384615384,-0.07174,8,penny
sv10-159,Arven's Greedent,sv10,Destined Rivals,159,Rare,holo,0.14,0.16312800000000002,0.3,0.5437600000000001,-45.62399999999999,-0.13687199999999997,8,penny
sv4pt5-96,Hoppip,sv4pt5,Paldean Fates,96,Shiny Rare,normal,3.94,4.590888,5.01,0.9163449101796407,-8.36550898203593,-0.41911200000000015,8,
sv8pt5-166,Raging Bolt ex,sv8pt5,Prismatic Evolutions,166,Special Illustration Rare,normal,81.94,95.476488,67.01,1.4248095508133114,42.48095508133114,28.466488,8,
sv6-74,Bellibolt,sv6,Twilight Masquerade,74,Uncommon,normal,0.06,0.069912,0.15,0.46608000000000005,-53.391999999999996,-0.08008799999999999,8,penny
sv6-74,Bellibolt,sv6,Twilight Masquerade,74,Uncommon,holo,0.13,0.151476,0.26,0.5826,-41.74,-0.10852400000000001,8,penny
sv3-215,Charizard ex,sv3,Obsidian Flames,215,Ultra Rare,normal,20.65,24.06138,20.74,1.1601436837029895,16.014368370298946,3.3213800000000013,11,
sv10-213,Team Rocket's Mewtwo ex,sv10,Destined Rivals,213,Ultra Rare,normal,17.36,20.227871999999998,20.49,0.987207027818448,-1.2792972181551954,-0.2621280000000006,11,
sv3-48,Buizel,sv3,Obsidian Flames,48,Common,normal,0.03,0.034956,0.11,0.31778181818181817,-68.22181818181818,-0.075044,8,penny
sv3-48,Buizel,sv3,Obsidian Flames,48,Common,holo,0.1,0.11652000000000001,0.19,0.613263157894737,-38.673684210526304,-0.07347999999999999,8,penny
sv4-246,Golisopod ex,sv4,Paradox Rift,246,Special Illustration Rare,normal,18.69,21.777588,25.56,0.852018309859155,-14.798169014084495,-3.782411999999997,11,
sv8-15,Wo-Chien,sv8,Surging Sparks,15,Uncommon,normal,0.06,0.069912,0.06,1.1652,16.520000000000003,0.009912000000000004,8,penny
sv8-15,Wo-Chien,sv8,Surging Sparks,15,Uncommon,holo,0.12,0.139824,0.27,0.5178666666666667,-48.21333333333333,-0.13017600000000001,8,penny
me2pt5-133,Cynthia's Spiritomb,me2pt5,Ascended Heroes,133,Uncommon,normal,0.05,0.058260000000000006,0.08,0.7282500000000001,-27.174999999999994,-0.021739999999999995,7,penny
me2pt5-54,Glastrier,me2pt5,Ascended Heroes,54,Uncommon,normal,0.03,0.034956,0.19,0.18397894736842105,-81.6021052631579,-0.15504400000000002,7,penny
swsh12-22,Rapidash,swsh12,Silver Tempest,22,Rare Holo,normal,0.2,0.23304000000000002,0.32,0.7282500000000001,-27.174999999999994,-0.08695999999999998,8,penny
