grouping,group,n_products,share_of_products,geo_mean,ci_lo,ci_hi,median,n_up,share_up,contribution_share
channel,Mass-retail,59,0.6629213483146067,1.7702872448798745,1.6681056700760675,1.878728059980437,1.8098634044654125,58,0.9830508474576272,0.7158710143823472
channel,Pokemon Center exclusive,30,0.33707865168539325,1.5617638009683075,1.4316689376188851,1.7036803034028476,1.665370149856863,29,0.9666666666666667,0.2841289856176527
