window,from_month,to_month,months,n_products,n_up,share_up,sign_p,geo_mean,median,p10,p25,p75,p90,min,max,annualised_geo_pct
trailing 3m,2026-06,2026-09,3,104,52,0.5,1.0,0.9899735493328526,1.0001350074254085,0.8446474882011665,0.9450633272015074,1.0951457657707913,1.1790562084946279,0.2010994713456362,1.5862433862433862,-3.950664610931298
trailing 6m,2026-03,2026-09,6,99,93,0.9393939393939394,3.773842968353187e-21,1.2959191904155019,1.3157963361366454,1.0957949746064686,1.2034768298964078,1.443224180884001,1.589822800038973,0.5387080977607622,1.7814012445263885,67.94065480871699
trailing 9m,2025-12,2026-09,9,94,85,0.9042553191489362,1.1976554450525877e-16,1.393202676820423,1.42081952305026,1.0218110268348746,1.296644159803475,1.5575744532760616,1.7193974474480356,0.8225006377731795,2.10726084206087,55.60339451068472
trailing 12m,2025-09,2026-09,12,92,89,0.967391304347826,5.244963240504083e-23,1.539295077499148,1.5618060064023616,1.1719651423581465,1.3575919469426105,1.774093127995287,1.985037183298725,0.5417794866240658,2.908138519740033,53.929507749914805
full window (30m),2024-03,2026-09,30,69,69,1.0,3.3881317890172014e-21,4.3817010946122785,4.1691266912669125,2.9817473555603304,3.2670031242489785,5.976015919564307,7.919579854232564,1.3155148190272294,13.955731642894875,80.57478200150778
