window,from_month,to_month,n_returns,mean_monthly_pct,annual_pct,ci_lo_pct,ci_hi_pct,t,lags,total_return_pct,interval_reliable
trailing 3m,2026-06,2026-09,3,-0.7541502471047346,-8.683710832945767,-29.215960075221737,17.804305548291822,-0.699063261778131,1,-2.2454313551948712,False
trailing 6m,2026-03,2026-09,6,3.345036271955504,48.414203021763804,-18.779981619997766,171.19885094742475,1.2837128209961666,2,21.82536805680646,False
trailing 9m,2025-12,2026-09,9,2.7742680992573154,38.871367439639194,-8.043012725846188,109.72040587910557,1.561325325403744,2,27.92621014186434,False
trailing 12m,2025-09,2026-09,12,2.8656594911092625,40.36052284704632,-1.6983494112982278,100.41450225822088,1.8657381737201655,2,40.360522847046276,True
full window,2024-03,2026-09,30,3.9082146981678223,58.41583708009068,21.3147547558979,106.86335712652277,3.3792582653083976,3,215.8613529727142,True
